Source File;Source Tab;NWB;GPTS tribe name (Initiative name);Team (if applicable);Product/Application (agile products only);Reference Period;Contact Person;Comment;Customer facing Y/N;Deployment Frequency [# per quarter];Cycle Time [days];Change Failure Rate [%];Failed Deployments [#];MTTR [days];CICD Pipeline [%];Test Automation [%];DevOps Score;Quarter;Year
NWU2_Q1_2024.xlsx;Cycle Time for Changes;NWU2;Customer Experience;Team Delta;Account Management;Q1 2024;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU2_Q1_2024.xlsx;Cycle Time for Changes;NWU2;Core Banking;Team Epsilon;Loan Processing System;Q1 2024;John Doe;;;0;NaN;0;0;0;0;0;100;;
NWU2_Q1_2024.xlsx;Change Failure Rate;NWU2;Customer Experience;Team Delta;Card Services;Q1 2024;John Doe;;;0;0;28.57;2;0;0;50;0;;
NWU2_Q1_2024.xlsx;Mean Time to Repair;NWU2;Customer Experience;Team Delta;Customer Onboarding;Q1 2024;John Doe;;;0;0;0;0;0.18;100;0;0;;
NWU2_Q1_2024.xlsx;CICD Pipeline;NWU2;Core Banking;Team Epsilon;Business Banking;Q1 2024;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q1_2024.xlsx;Test automation;NWU2;Digital Banking;Team Epsilon;ATM Services;Q1 2024;John Doe;;;0;0;0;0;0;0;31;0;;
NWU2_Q2_2023.xlsx;Deployment Frequency;NWU2;Core Banking;Team Delta;Wealth Management;Q2 2023;John Doe;;;5;0;0;0;0;0;28;0;;
NWU2_Q2_2023.xlsx;Cycle Time for Changes;NWU2;Customer Experience;Team Delta;Online Banking Portal;Q2 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU2_Q2_2023.xlsx;Cycle Time for Changes;NWU2;Lending;Team Epsilon;Loan Processing System;Q2 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU2_Q2_2023.xlsx;Change Failure Rate;NWU2;Payments;Team Delta;ATM Services;Q2 2023;John Doe;;;0;0;0;0;2.58;0;0;0;;
NWU2_Q2_2023.xlsx;Change Failure Rate;NWU2;Lending;Team Epsilon;Card Services;Q2 2023;John Doe;;;0;0;20;5;0;0;0;0;;
NWU2_Q2_2023.xlsx;Mean Time to Repair;NWU2;Customer Experience;Team Epsilon;Account Management;Q2 2023;John Doe;;;0;0;0;0;0.97;0;0;0;;
NWU2_Q2_2023.xlsx;CICD Pipeline;NWU2;Customer Experience;Team Delta;Business Banking;Q2 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q2_2023.xlsx;CICD Pipeline;NWU2;Customer Experience;Team Epsilon;Payment Gateway;Q2 2023;John Doe;;;0;0;0;0;0;0;32;0;;
NWU2_Q2_2024.xlsx;Deployment Frequency;NWU2;Core Banking;Team Delta;Loan Processing System;Q2 2024;John Doe;;;13;NaN;25;2;0;0;34;0;;
NWU2_Q2_2024.xlsx;Deployment Frequency;NWU2;Lending;Team Epsilon;Business Banking;Q2 2024;John Doe;;;6;0;0;0;0;0;0;0;;
NWU2_Q2_2024.xlsx;Cycle Time for Changes;NWU2;Customer Experience;Team Epsilon;ATM Services;Q2 2024;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU2_Q2_2024.xlsx;Change Failure Rate;NWU2;Lending;Team Epsilon;Card Services;Q2 2024;John Doe;;;0;0;0;0;0;100;0;0;;
NWU2_Q2_2024.xlsx;Mean Time to Repair;NWU2;Digital Banking;Team Delta;Account Management;Q2 2024;John Doe;;;0;0;0;0;0.49;0;13;0;;
NWU2_Q2_2024.xlsx;Mean Time to Repair;NWU2;Customer Experience;Team Epsilon;Payment Gateway;Q2 2024;John Doe;;;0;0;0;0;1.57;0;0;0;;
NWU2_Q2_2024.xlsx;CICD Pipeline;NWU2;Payments;Team Delta;Online Banking Portal;Q2 2024;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q2_2024.xlsx;DevOps;NWU2;Customer Experience;Team Delta;Wealth Management;Q2 2024;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q3_2023.xlsx;Deployment Frequency;NWU2;Lending;Team Delta;ATM Services;Q3 2023;John Doe;;;4;0;3.45;1;0;0;11;0;;
NWU2_Q3_2023.xlsx;Deployment Frequency;NWU2;Core Banking;Team Epsilon;Payment Gateway;Q3 2023;John Doe;;;9;0;0;0;0;0;0;0;;
NWU2_Q3_2023.xlsx;Cycle Time for Changes;NWU2;Digital Banking;Team Delta;Customer Onboarding;Q3 2023;John Doe;;;0;NaN;0;0;0;0;22;0;;
NWU2_Q3_2023.xlsx;Cycle Time for Changes;NWU2;Core Banking;Team Epsilon;Loan Processing System;Q3 2023;John Doe;;;0;NaN;0;0;3.56;0;0;0;;
NWU2_Q3_2023.xlsx;Change Failure Rate;NWU2;Core Banking;Team Epsilon;Business Banking;Q3 2023;John Doe;;;0;0;8.33;2;0;0;0;0;;
NWU2_Q3_2023.xlsx;Mean Time to Repair;NWU2;Core Banking;Team Epsilon;Mobile Banking App;Q3 2023;John Doe;;;0;0;0;0;4.47;0;0;0;;
NWU2_Q3_2023.xlsx;CICD Pipeline;NWU2;Customer Experience;Team Delta;Card Services;Q3 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q3_2023.xlsx;CICD Pipeline;NWU2;Core Banking;Team Epsilon;Online Banking Portal;Q3 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q3_2024.xlsx;Deployment Frequency;NWU2;Core Banking;Team Delta;Business Banking;Q3 2024;John Doe;;;20;0;25;4;0;0;0;0;;
NWU2_Q3_2024.xlsx;Deployment Frequency;NWU2;Core Banking;Team Epsilon;Payment Gateway;Q3 2024;John Doe;;;7;NaN;0;0;2.69;0;44;0;;
NWU2_Q3_2024.xlsx;Cycle Time for Changes;NWU2;Core Banking;Team Epsilon;Account Management;Q3 2024;John Doe;;;0;NaN;0;0;0;100;0;0;;
NWU2_Q3_2024.xlsx;Change Failure Rate;NWU2;Customer Experience;Team Delta;Online Banking Portal;Q3 2024;John Doe;;;0;0;15.38;4;0;0;0;0;;
NWU2_Q3_2024.xlsx;Mean Time to Repair;NWU2;Lending;Team Delta;Loan Processing System;Q3 2024;John Doe;;;0;0;0;0;4.12;0;31;0;;
NWU2_Q3_2024.xlsx;CICD Pipeline;NWU2;Core Banking;Team Epsilon;Card Services;Q3 2024;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q3_2024.xlsx;DevOps;NWU2;Digital Banking;Team Delta;Wealth Management;Q3 2024;John Doe;;;0;0;0;0;0;0;0;100;;
NWU2_Q4_2023.xlsx;Deployment Frequency;NWU2;Core Banking;Team Delta;Online Banking Portal;Q4 2023;John Doe;;;13;0;19.05;4;0;0;0;0;;
NWU2_Q4_2023.xlsx;Deployment Frequency;NWU2;Core Banking;Team Epsilon;ATM Services;Q4 2023;John Doe;;;11;NaN;0;0;0;0;0;0;;
NWU2_Q4_2023.xlsx;Cycle Time for Changes;NWU2;Digital Banking;Team Delta;Loan Processing System;Q4 2023;John Doe;;;0;NaN;0;0;2.41;0;0;0;;
NWU2_Q4_2023.xlsx;Change Failure Rate;NWU2;Lending;Team Epsilon;Business Banking;Q4 2023;John Doe;;;0;0;7.14;2;4.44;0;0;0;;
NWU2_Q4_2023.xlsx;CICD Pipeline;NWU2;Core Banking;Team Epsilon;Payment Gateway;Q4 2023;John Doe;;;0;0;0;0;0;0;0;0;;
NWU2_Q4_2023.xlsx;Test automation;NWU2;Lending;Team Delta;Mobile Banking App;Q4 2023;John Doe;;;0;0;0;0;0;0;34;100;;
NWU2_Q4_2023.xlsx;Test automation;NWU2;Digital Banking;Team Epsilon;Wealth Management;Q4 2023;John Doe;;;0;0;0;0;0;0;55;0;;
NWU2_Q4_2023.xlsx;DevOps;NWU2;Customer Experience;Team Delta;Account Management;Q4 2023;John Doe;;;0;0;0;0;0;0;0;100;;
NWU2_Q4_2024.xlsx;Deployment Frequency;NWU2;Payments;Team Delta;Card Services;Q4 2024;John Doe;;;15;NaN;0;0;0;0;0;0;;
NWU2_Q4_2024.xlsx;Cycle Time for Changes;NWU2;Digital Banking;Team Delta;Wealth Management;Q4 2024;John Doe;;;0;NaN;0;0;0.72;0;0;0;;
NWU2_Q4_2024.xlsx;Change Failure Rate;NWU2;Customer Experience;Team Delta;Account Management;Q4 2024;John Doe;;;0;0;20;5;0;100;0;0;;
NWU2_Q4_2024.xlsx;Change Failure Rate;NWU2;Customer Experience;Team Epsilon;Customer Onboarding;Q4 2024;John Doe;;;0;0;7.14;2;0;100;0;0;;
NWU2_Q4_2024.xlsx;Test automation;NWU2;Customer Experience;Team Delta;Online Banking Portal;Q4 2024;John Doe;;;0;0;0;0;0;0;29;0;;
NWU2_Q4_2024.xlsx;Test automation;NWU2;Customer Experience;Team Epsilon;Loan Processing System;Q4 2024;John Doe;;;0;0;0;0;0;0;78;0;;
NWU2_Q4_2024.xlsx;DevOps;NWU2;Core Banking;Team Epsilon;Business Banking;Q4 2024;John Doe;;;0;0;0;0;0;0;0;100;;
NWU3_Q1_2023.xlsx;Deployment Frequency;NWU3;Customer Experience;Team Zeta;Business Banking;Q1 2023;John Doe;;;7;0;0;0;3.87;0;0;0;;
NWU3_Q1_2023.xlsx;Deployment Frequency;NWU3;Lending;Team Eta;ATM Services;Q1 2023;John Doe;;;4;0;0;0;0;0;0;100;;
NWU3_Q1_2023.xlsx;Deployment Frequency;NWU3;Lending;Team Theta;Wealth Management;Q1 2023;John Doe;;;5;0;0;0;0;0;0;0;;
NWU3_Q1_2023.xlsx;Cycle Time for Changes;NWU3;Core Banking;Team Zeta;Card Services;Q1 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU3_Q1_2023.xlsx;Cycle Time for Changes;NWU3;Digital Banking;Team Eta;Customer Onboarding;Q1 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU3_Q1_2023.xlsx;Cycle Time for Changes;NWU3;Customer Experience;Team Theta;Mobile Banking App;Q1 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU3_Q1_2023.xlsx;Change Failure Rate;NWU3;Core Banking;Team Zeta;Online Banking Portal;Q1 2023;John Doe;;;0;0;10;1;0;0;0;0;;
NWU3_Q1_2023.xlsx;Change Failure Rate;NWU3;Payments;Team Theta;Payment Gateway;Q1 2023;John Doe;;;0;0;15.79;3;0;0;13;0;;
NWU3_Q1_2023.xlsx;Mean Time to Repair;NWU3;Payments;Team Theta;Account Management;Q1 2023;John Doe;;;0;0;0;0;4.61;0;0;0;;
NWU3_Q1_2023.xlsx;CICD Pipeline;NWU3;Customer Experience;Team Zeta;Loan Processing System;Q1 2023;John Doe;;;0;0;0;0;0;0;90;100;;
NWU3_Q1_2024.xlsx;Deployment Frequency;NWU3;Digital Banking;Team Zeta;Customer Onboarding;Q1 2024;John Doe;;;16;0;0;0;0;0;76;0;;
NWU3_Q1_2024.xlsx;Deployment Frequency;NWU3;Payments;Team Eta;Account Management;Q1 2024;John Doe;;;1;0;0;0;0;0;0;0;;
NWU3_Q1_2024.xlsx;Deployment Frequency;NWU3;Digital Banking;Team Theta;ATM Services;Q1 2024;John Doe;;;9;0;0;0;0;0;84;100;;
NWU3_Q1_2024.xlsx;Cycle Time for Changes;NWU3;Customer Experience;Team Zeta;Card Services;Q1 2024;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU3_Q1_2024.xlsx;Cycle Time for Changes;NWU3;Core Banking;Team Theta;Online Banking Portal;Q1 2024;John Doe;;;0;NaN;14.29;1;0;100;0;0;;
NWU3_Q1_2024.xlsx;Change Failure Rate;NWU3;Lending;Team Theta;Payment Gateway;Q1 2024;John Doe;;;0;0;23.08;6;0;0;0;100;;
NWU3_Q1_2024.xlsx;Mean Time to Repair;NWU3;Core Banking;Team Zeta;Wealth Management;Q1 2024;John Doe;;;0;0;0;0;2.42;100;0;0;;
NWU3_Q1_2024.xlsx;Mean Time to Repair;NWU3;Core Banking;Team Eta;Mobile Banking App;Q1 2024;John Doe;;;0;0;0;0;1.68;0;0;0;;
NWU3_Q1_2024.xlsx;Mean Time to Repair;NWU3;Lending;Team Theta;Loan Processing System;Q1 2024;John Doe;;;0;0;0;0;4.09;0;51;0;;
NWU3_Q2_2023.xlsx;Deployment Frequency;NWU3;Lending;Team Zeta;Online Banking Portal;Q2 2023;John Doe;;;2;NaN;17.65;3;0;0;83;100;;
NWU3_Q2_2023.xlsx;Deployment Frequency;NWU3;Core Banking;Team Eta;Card Services;Q2 2023;John Doe;;;11;0;20;3;0;100;0;0;;
NWU3_Q2_2023.xlsx;Deployment Frequency;NWU3;Lending;Team Theta;Account Management;Q2 2023;John Doe;;;18;NaN;0;0;0;0;0;0;;
NWU3_Q2_2023.xlsx;Cycle Time for Changes;NWU3;Customer Experience;Team Theta;ATM Services;Q2 2023;John Doe;;;0;NaN;0;0;0;0;0;0;;
NWU3_Q2_2023.xlsx;Change Failure Rate;NWU3;Customer Experience;Team Eta;Wealth Management;Q2 2023;John Doe;;;0;0;21.05;4;1.45;0;0;0;;
NWU3_Q2_2023.xlsx;Mean Time to Repair;NWU3;Payments;Team Zeta;Payment Gateway;Q2 2023;John Doe;;;0;0;0;0;2.18;0;0;100;;
NWU3_Q2_2023.xlsx;Mean Time to Repair;NWU3;Core Banking;Team Theta;Customer Onboarding;Q2 2023;John Doe;;;0;0;0;0;2.29;0;0;0;;
NWU3_Q2_2023.xlsx;CICD Pipeline;NWU3;Lending;Team Theta;Mobile Banking App;Q2 2023;John Doe;;;0;0;0;0;0;100;35;0;;
NWU3_Q2_2024.xlsx;Deployment Frequency;NWU3;Core Banking;Team Zeta;Loan Processing System;Q2 2024;John Doe;;;18;0;0;0;1.63;0;0;0;;
NWU3_Q2_2024.xlsx;Deployment Frequency;NWU3;Customer Experience;Team Theta;Online Banking Portal;Q2 2024;John Doe;;;15;0;0;0;0;0;0;0;;
